Time(s),Voltage(V)
-3.580000000000000029e-06,4.000000000000000083e-02
-3.570000000000000124e-06,0.000000000000000000e+00
-3.560000000000000220e-06,4.000000000000000083e-02
-3.549999999999999892e-06,4.000000000000000083e-02
-3.539999999999999988e-06,0.000000000000000000e+00
-3.530000000000000084e-06,4.000000000000000083e-02
-3.520000000000000180e-06,4.000000000000000083e-02
-3.510000000000000275e-06,0.000000000000000000e+00
-3.499999999999999947e-06,-4.000000000000000083e-02
-3.490000000000000043e-06,8.000000000000000167e-02
-3.480000000000000139e-06,0.000000000000000000e+00
-3.470000000000000235e-06,4.000000000000000083e-02
-3.459999999999999907e-06,0.000000000000000000e+00
-3.450000000000000003e-06,0.000000000000000000e+00
-3.440000000000000098e-06,0.000000000000000000e+00
-3.430000000000000194e-06,-8.000000000000000167e-02
-3.419999999999999866e-06,0.000000000000000000e+00
-3.409999999999999962e-06,0.000000000000000000e+00
-3.400000000000000058e-06,0.000000000000000000e+00
-3.390000000000000154e-06,8.000000000000000167e-02
-3.380000000000000249e-06,4.000000000000000083e-02
-3.369999999999999922e-06,4.000000000000000083e-02
-3.360000000000000017e-06,8.000000000000000167e-02
-3.350000000000000113e-06,-4.000000000000000083e-02
-3.340000000000000209e-06,0.000000000000000000e+00
-3.329999999999999881e-06,0.000000000000000000e+00
-3.319999999999999977e-06,8.000000000000000167e-02
-3.310000000000000073e-06,-4.000000000000000083e-02
-3.300000000000000168e-06,4.000000000000000083e-02
-3.290000000000000264e-06,0.000000000000000000e+00
-3.279999999999999936e-06,0.000000000000000000e+00
-3.270000000000000032e-06,4.000000000000000083e-02
-3.260000000000000128e-06,0.000000000000000000e+00
-3.250000000000000224e-06,-4.000000000000000083e-02
-3.239999999999999896e-06,4.000000000000000083e-02
-3.229999999999999991e-06,4.000000000000000083e-02
-3.220000000000000087e-06,4.000000000000000083e-02
-3.210000000000000183e-06,8.000000000000000167e-02
-3.199999999999999855e-06,0.000000000000000000e+00
-3.189999999999999951e-06,0.000000000000000000e+00
-3.180000000000000047e-06,-4.000000000000000083e-02
-3.170000000000000142e-06,0.000000000000000000e+00
-3.160000000000000238e-06,1.199999999999999956e-01
-3.149999999999999910e-06,4.000000000000000083e-02
-3.140000000000000006e-06,4.000000000000000083e-02
-3.130000000000000102e-06,0.000000000000000000e+00
-3.120000000000000198e-06,8.000000000000000167e-02
-3.109999999999999870e-06,4.000000000000000083e-02
-3.099999999999999966e-06,0.000000000000000000e+00
-3.090000000000000061e-06,-4.000000000000000083e-02
-3.080000000000000157e-06,4.000000000000000083e-02
-3.070000000000000253e-06,8.000000000000000167e-02
-3.059999999999999925e-06,0.000000000000000000e+00
-3.050000000000000021e-06,0.000000000000000000e+00
-3.040000000000000117e-06,0.000000000000000000e+00
-3.030000000000000212e-06,0.000000000000000000e+00
-3.019999999999999885e-06,0.000000000000000000e+00
-3.009999999999999980e-06,1.199999999999999956e-01
-3.000000000000000076e-06,0.000000000000000000e+00
-2.990000000000000172e-06,0.000000000000000000e+00
-2.980000000000000267e-06,4.000000000000000083e-02
-2.969999999999999940e-06,4.000000000000000083e-02
-2.960000000000000035e-06,4.000000000000000083e-02
-2.950000000000000131e-06,0.000000000000000000e+00
