S0,S1,S2,S3
8.558260261241606992e-01,2.511157547854842020e-01,9.916859906042807538e-02,-3.479025483946218689e-01
8.581939475273768769e-01,2.604449192507618527e-01,1.110561165280902068e-01,-3.413107636296575098e-01
8.580234119245659929e-01,2.795197796802834644e-01,1.054807520542017929e-01,-3.416393461739032911e-01
8.575220852388678594e-01,2.786609322944212375e-01,8.374484717824523528e-02,-3.557253144879686246e-01
8.590295351870951279e-01,2.994214627573176801e-01,9.378251338129256487e-02,-3.454198648294696250e-01
8.661524291065512138e-01,3.191445161486217708e-01,9.790248479700779105e-02,-3.420109129750275034e-01
8.582743537865288319e-01,3.301334485751784009e-01,8.861442861603333054e-02,-3.386562806098435963e-01
8.591220536313262102e-01,3.515188045464028854e-01,1.069687526794343563e-01,-3.212332361480395027e-01
8.641518717291605256e-01,3.663424804194399531e-01,9.995240487171752619e-02,-3.187383120884844656e-01
8.614882633767272369e-01,3.745377345218365850e-01,8.909440359335889237e-02,-3.280551653674245172e-01
8.592006562485557941e-01,3.921866144364729578e-01,7.375682858753317139e-02,-3.286313681842394363e-01
8.640805454584958856e-01,4.136018401003727640e-01,7.306700084690567754e-02,-3.260861794709843386e-01
8.623291083797889334e-01,4.066260180441073624e-01,5.261064184146256595e-02,-3.101699221667761353e-01
8.596140364389727173e-01,4.220217389832685573e-01,6.337923350626274710e-02,-3.099253909200637147e-01
8.642033480872863827e-01,4.326173936669571174e-01,4.809017716606753950e-02,-3.039488375482203297e-01
8.624949532766815752e-01,4.418983894553604741e-01,4.788195680952390260e-02,-2.899988193952399707e-01
8.614149202103654757e-01,4.577723188338548854e-01,3.543735275704470999e-02,-2.822163040635717324e-01
8.608185074919570967e-01,4.717516864268581078e-01,1.428220238128146725e-02,-2.844363220888886934e-01
8.620211520080818257e-01,4.613929755064698490e-01,1.838379131795324362e-02,-2.782149706590500982e-01
8.675392591804406139e-01,4.867840897102422848e-01,1.924874616398585328e-02,-2.726701036066862538e-01
8.634830911611649507e-01,4.973970094564520439e-01,6.208572772185485134e-04,-2.507863886763553873e-01
8.632693492515026712e-01,5.048423743899607130e-01,1.635717857840049937e-03,-2.429933805085226217e-01
8.628561319479833847e-01,5.071221443325104605e-01,-9.554123610227914509e-03,-2.384320122378546514e-01
8.653303501566069755e-01,5.248860810021171996e-01,-1.580183103676563450e-02,-2.200317376093524624e-01
8.672801103617443497e-01,5.205183314729765476e-01,-1.643465242172064550e-02,-2.203987352953383771e-01
8.646668795750457326e-01,5.264217653021500132e-01,-3.301714224604710562e-02,-1.933475504901429054e-01
8.673940920797023058e-01,5.448636391457992723e-01,-3.859490594189009249e-02,-1.902735713336574652e-01
8.634712446632434313e-01,5.348155912886881636e-01,-4.741694336269946380e-02,-1.845176673901631759e-01
8.648697250156310856e-01,5.348245755131532109e-01,-5.602494698479442564e-02,-1.850679505500710254e-01
8.693726374317568562e-01,5.404089426974191257e-01,-6.733172499112026477e-02,-1.609552472039253446e-01
8.636314828902220686e-01,5.337721208577733689e-01,-7.768046192660447991e-02,-1.622515551573347481e-01
8.682642146085143287e-01,5.401902527424327083e-01,-8.510727163267695072e-02,-1.485309585472397720e-01
8.660336492500476657e-01,5.418027073454315667e-01,-8.408005655435119019e-02,-1.215735897611595062e-01
8.708630904006362528e-01,5.422231342097081352e-01,-9.191026006114925984e-02,-1.238616395647008234e-01
8.638769728387666325e-01,5.434578287789828543e-01,-1.151545181229450820e-01,-1.115383790232725297e-01
8.697166928421201648e-01,5.464236048606618823e-01,-1.118863384511536024e-01,-8.654631363889320195e-02
8.666706097889814719e-01,5.357726377008004137e-01,-1.247052509004611259e-01,-7.265742087441832975e-02
8.636080334065545649e-01,5.427559615038248797e-01,-1.378821139448504485e-01,-7.611282018514499426e-02
8.619772623441238624e-01,5.242575752006906065e-01,-1.540851907726765169e-01,-7.105857799989293011e-02
8.638919256575768868e-01,5.256438910568055345e-01,-1.377977741177930648e-01,-6.509853084177136262e-02
8.661361935481730612e-01,5.136433060595401168e-01,-1.485170508177301729e-01,-5.151567704966004968e-02
8.624423071386074779e-01,5.203022257703275866e-01,-1.568077353025780218e-01,-2.907013619142826202e-02
8.638318693020692329e-01,5.113812019345568283e-01,-1.635334102058659533e-01,-1.650603834735379222e-02
8.636999010748367400e-01,4.901368021354938209e-01,-1.898599579766979406e-01,-8.101214642082106912e-03
8.683846080847872351e-01,4.926767444090852655e-01,-1.710679762258739411e-01,-3.069747655960634175e-03
8.657575594118552820e-01,4.936548302617585482e-01,-1.753624220906864484e-01,1.958298136663393519e-03
8.668356078800456554e-01,4.721257877869681208e-01,-1.897738453665881730e-01,1.117580933591858297e-02
8.630439702162857607e-01,4.614680951406591736e-01,-2.143550830869160595e-01,1.902148195377374035e-02
8.642539053174709274e-01,4.418234225359662926e-01,-2.036671498229946364e-01,2.816453638147444621e-02
8.602739194691608748e-01,4.464977937763554561e-01,-1.918608595828737995e-01,3.839078519400938166e-02
