S0,S1,S2,S3
9.895892981668354960e-01,3.358729366416487450e-01,9.113544863932550033e-01,-6.646947298022522210e-02
9.846734650606477901e-01,3.321918838126926010e-01,8.868477751070769077e-01,-8.286538494918396780e-02
9.843721218525388617e-01,3.356729469763437002e-01,8.731160533727994055e-01,-9.683897866415032418e-02
9.807124023364557353e-01,3.347831400912843480e-01,8.533911787749410838e-01,-1.087080087576088872e-01
9.759993022104012095e-01,3.341234605308155969e-01,8.263790373538689726e-01,-1.264916686145811930e-01
9.717267169632255452e-01,3.342469686655911709e-01,8.069121076741083698e-01,-1.375686274141574017e-01
9.666860665775192096e-01,3.336543883756739048e-01,7.818952771736267238e-01,-1.498988619480606244e-01
9.614761407510235003e-01,3.348671184450658367e-01,7.581983305449492283e-01,-1.655096786364579908e-01
9.578352382988093439e-01,3.377818894262959448e-01,7.378269342882192161e-01,-1.787478176878855018e-01
9.545162862304290563e-01,3.430006905056845468e-01,7.228704210602004965e-01,-1.884309010125881922e-01
9.494562971631819170e-01,3.454750438779037314e-01,6.933745977864531618e-01,-1.988547867872210440e-01
9.465864928068490336e-01,3.512277340792227531e-01,6.727120691598712510e-01,-2.092948982464588048e-01
9.418405065161723488e-01,3.549252569049230477e-01,6.515797429178485922e-01,-2.155869378119761870e-01
9.398627475238241491e-01,3.626591914775252889e-01,6.365332905742314695e-01,-2.224040278232226053e-01
9.369441030995524500e-01,3.686670820968179219e-01,6.122284978793748333e-01,-2.286723332878530524e-01
9.372420315760336962e-01,3.784884467318946899e-01,6.031479990894312859e-01,-2.347971089488311291e-01
9.369172203396732845e-01,3.880224336414225261e-01,5.929446821645870669e-01,-2.364179179977508871e-01
9.333934559599862402e-01,3.919363683064016057e-01,5.626655417746285748e-01,-2.433610993427942626e-01
9.311886326114122703e-01,3.996531680066932046e-01,5.399625888883060609e-01,-2.473382149614388181e-01
9.300590436928288796e-01,4.085168061417226437e-01,5.275329191365749626e-01,-2.517568374341058735e-01
9.259907182370457068e-01,4.141162544898424058e-01,4.971230132338405050e-01,-2.583457808387886190e-01
9.237230410266049629e-01,4.225925133513747101e-01,4.774575046590645577e-01,-2.615542836887644884e-01
9.216348460428926970e-01,4.313405215687979299e-01,4.630185929767996478e-01,-2.641318560040672447e-01
9.179287909752502639e-01,4.362611234923887693e-01,4.424937157756780870e-01,-2.676738600077423480e-01
9.147495172045146949e-01,4.457081548424476902e-01,4.208072126416474990e-01,-2.667499927270317039e-01
9.115994029344036687e-01,4.528081128048797588e-01,4.019756672280828114e-01,-2.669228204610822885e-01
9.078175199773187432e-01,4.597904856542692764e-01,3.798110468050852062e-01,-2.696723204403836949e-01
9.089288543666170783e-01,4.743865537589620485e-01,3.755526992493708471e-01,-2.686475803887077296e-01
9.096730980465531635e-01,4.871550476933271812e-01,3.652348549017784274e-01,-2.661017070272519436e-01
9.071512222024564753e-01,4.934366502279834421e-01,3.464920637660996450e-01,-2.661865174541256374e-01
9.060162778684430762e-01,5.017923985883037119e-01,3.342200107874030990e-01,-2.614855095293956988e-01
9.068165981212902294e-01,5.149480484367051636e-01,3.255517032306189940e-01,-2.552607519841114669e-01
